lemma,fin:sg:pri:perf,fin:sg:pri:imperf,fin:sg:sec:perf,fin:sg:sec:imperf,fin:sg:ter:perf,fin:sg:ter:imperf,fin:pl:pri:perf,fin:pl:pri:imperf,fin:pl:sec:perf,fin:pl:sec:imperf,fin:pl:ter:perf,fin:pl:ter:imperf,praet:sg:f:perf,praet:sg:f:imperf,praet:sg:m1.m2.m3:perf,praet:sg:m1.m2.m3:imperf,praet:pl:m2.m3.f.n1.n2.p2.p3:perf,praet:pl:m2.m3.f.n1.n2.p2.p3:imperf,ppron3:sg:nom:m1.m2.m3:ter:_:_
obrzydnąć,obrzydnę,,obrzydniesz,,obrzydnie,,obrzydniemy,,obrzydniecie,,obrzydną,,obrzydła,,obrzydł,,obrzydły,,
obrzydzać,,obrzydzam,,obrzydzasz,,obrzydza,,obrzydzamy,,obrzydzacie,,obrzydzają,,obrzydzała,,obrzydzał,,obrzydzały,
obrzydzić,obrzydzę,,obrzydzisz,,obrzydzi,,obrzydzimy,,obrzydzicie,,obrzydzą,,obrzydziła,,obrzydził,,obrzydziły,,
obrzygać,obrzygam,,obrzygasz,,obrzyga,,obrzygamy,,obrzygacie,,obrzygają,,obrzygała,,obrzygał,,obrzygały,,
obrzygiwać,,obrzygiwam,,obrzygiwasz,,obrzygiwa,,obrzygiwamy,,obrzygiwacie,,obrzygiwają,,obrzygiwała,,obrzygiwał,,obrzygiwały,
obrzynać,,obrzynam,,obrzynasz,,obrzyna,,obrzynamy,,obrzynacie,,obrzynają,,obrzynała,,obrzynał,,obrzynały,
obsaczać,,obsaczam,,obsaczasz,,obsacza,,obsaczamy,,obsaczacie,,obsaczają,,obsaczała,,obsaczał,,obsaczały,
obsaczyć,obsaczę,,obsaczysz,,obsaczy,,obsaczymy,,obsaczycie,,obsaczą,,obsaczyła,,obsaczył,,obsaczyły,,
obsadzać,,obsadzam,,obsadzasz,,obsadza,,obsadzamy,,obsadzacie,,obsadzają,,obsadzała,,obsadzał,,obsadzały,
obsadzić,obsadzę,,obsadzisz,,obsadzi,,obsadzimy,,obsadzicie,,obsadzą,,obsadziła,,obsadził,,obsadziły,,
obsączać,,obsączam,,obsączasz,,obsącza,,obsączamy,,obsączacie,,obsączają,,obsączała,,obsączał,,obsączały,
obsączyć,obsączę,,obsączysz,,obsączy,,obsączymy,,obsączycie,,obsączą,,obsączyła,,obsączył,,obsączyły,,
obsedować,,obseduję,,obsedujesz,,obseduje,,obsedujemy,,obsedujecie,,obsedują,,obsedowała,,obsedował,,obsedowały,
obserwować,,obserwuję,,obserwujesz,,obserwuje,,obserwujemy,,obserwujecie,,obserwują,,obserwowała,,obserwował,,obserwowały,
obsiać,obsieję,,obsiejesz,,obsieje,,obsiejemy,,obsiejecie,,obsieją,,obsiała,,obsiał,,obsiały,,
obsiadać,,obsiadam,,obsiadasz,,obsiada,,obsiadamy,,obsiadacie,,obsiadają,,obsiadała,,obsiadał,,obsiadały,
